0002A5,Hewlett Packard
0002A6,Effinet Systems Co.
0002A7,Vivace Networks
0002A8,Air Link Technology
0002A9,RACOM
0002AA,PLcom Co.
0002AB,CTC Union Technologies Co.
0002AC,3PAR data
0002AD,HOYA Corporation
0002AE,Scannex Electronics Ltd.
0002AF,TeleCruz Technology
0002B0,Hokubu Communication & Industrial Co.
0002B1,Anritsu
0002B2,Cablevision
0002B3,Intel Corporation
0002B4,Daphne
0002B5,Avnet
0002B6,Acrosser Technology Co.
0002B7,Watanabe Electric Industry Co.
0002B8,WHI KONSULT AB
0002B9,Cisco Systems
0002BA,Cisco Systems
0002BB,Continuous Computing Corp
0002BC,LVL 7 Systems
0002BD,Bionet Co.
0002BE,Totsu Engineering
0002BF,dotRocket
0002C0,Bencent Tzeng Industry Co.
0002C1,Innovative Electronic Designs
0002C2,Net Vision Telecom
0002C3,Arelnet Ltd.
0002C4,Vector International BVBA
0002C5,Evertz Microsystems Ltd.
0002C6,Data Track Technology PLC
0002C7,ALPS ELECTRIC CO.
0002C8,Technocom Communications Technology (pte) Ltd
0002C9,Mellanox Technologies
0002CA,EndPoints
0002CB,TriState Ltd.
0002CC,M.C.C.I
0002CD,TeleDream
0002CE,FoxJet
0002CF,ZyGate Communications
0002D0,Comdial Corporation
0002D1,Vivotek
0002D2,Workstation AG
0002D3,NetBotz
0002D4,PDA Peripherals
0002D5,Acr
0002D6,NICE Systems
0002D7,EMPEG Ltd
0002D8,BRECIS Communications Corporation
0002D9,Reliable Controls
0002DA,ExiO Communications
0002DB,Netsec
0002DC,Fujitsu General Limited
0002DD,Bromax Communications
0002DE,Astrodesign
0002DF,Net Com Systems
0002E0,ETAS GmbH
0002E1,Integrated Network Corporation
0002E2,NDC Infared Engineering
0002E3,LITE-ON Communications
0002E4,JC HYUN Systems
0002E5,Timeware Ltd.
0002E6,Gould Instrument Systems
0002E7,CAB GmbH & Co KG
0002E8,E.D.&A.
0002E9,CS Systemes De Securite - C3S
0002EA,Focus Enhancements
0002EB,Pico Communications
0002EC,Maschoff Design Engineering
0002ED,DXO Telecom Co.
0002EE,Nokia Danmark A/S
0002EF,CCC Network Systems Group Ltd.
0002F0,AME Optimedia Technology Co.
0002F1,Pinetron Co.
0002F2,eDevice
0002F3,Media Serve Co.
0002F4,PCTEL
0002F5,VIVE Synergies
0002F6,Equipe Communications
0002F7,Arm
0002F8,SEAKR Engineering
0002F9,MIMOS Berhad
0002FA,DX Antenna Co.
0002FB,Baumuller Aulugen-Systemtechnik GmbH
0002FC,Cisco Systems
0002FD,Cisco Systems
0002FE,Viditec
0002FF,Handan BroadInfoCom
000300,Barracuda Networks
000301,Exfo
000302,Charles Industries
000303,JAMA Electronics Co.
000304,Pacific Broadband Communications
000305,MSC Vertriebs GmbH
000306,Fusion In Tech Co.
000307,Secure Works
000308,AM Communications
000309,Texcel Technology PLC
00030A,Argus Technologies
00030B,Hunter Technology
00030C,Telesoft Technologies Ltd.
00030D,Uniwill Computer Corp.
00030E,Core Communications Co.
00030F,Digital China (Shanghai) Networks Ltd.
000310,E-Globaledge Corporation
000311,Micro Technology Co.
000312,TR-Systemtechnik GmbH
000313,Access Media SPA
000314,Teleware Network Systems
000315,Cidco Incorporated
000316,Nobell Communications
000317,Merlin Systems
000318,Cyras Systems
000319,Infineon AG
00031A,Beijing Broad Telecom Ltd.
00031B,Cellvision Systems
00031C,Svenska Hardvarufabriken AB
00031D,Taiwan Commate Computer
00031E,Optranet
00031F,Condev Ltd.
000320,Xpeed
000321,Reco Research Co.
000322,IDIS Co.
000323,Cornet Technology
